Fleet	Registration	Operating Division	Livery/Brand	Tacho Type	WI-FI	Router supplier	Model	Make	Body	Chassis Type	Chassis No	Engine No	Euro Cat	CCTV	Destination Type	Front Size	Side Size	Rear Size	Body No	Seated	Standing	Registered	O Licence No
410	YR13 PNO	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883486	6742870	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17	C319/8	42	28	26/04/2013	103447
411	YR13 PMY	Reading	Greenwave		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883526	6743697	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17	C319/6	42	28	26/04/2013	103450
412	YR13 PLV	Reading	Leopard		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883518	6743439	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		42	28	26/04/2013	103449
413	YR13 PLZ	Reading	Scarlet 9		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883501	6743114	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	C319/16	42	28	03/05/2013	103452
414	YR13 PMV	Reading	Scarlet 9		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883515	6743429	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		42	28	03/05/2013	103451
415	YR13 PNK	Reading	Generic		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883533	6743803	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		42	28	01/05/2013	103454
416	YR13 PNL	Reading	Pink 25		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883488	6742928	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		42	28	03/05/2013	103453
417	YR13 PNU	Reading	Pink 25		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883492	6742956	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		42	28	03/05/2013	103456
418	YR13 PMX	Reading	Bronze 11		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883535	6810047	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		42	28	15/05/2013	103455
419	YR13 PNV	Reading	Bronze 11		Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883686	6745308	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		42	28	16/05/2013	103458
420	YR13 PNF	Reading	Generic	Digital	Y	Icomera	M220	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001883503	6743135	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	C319/20	42	28	15/05/2013	103457
421	YN14 MXP	Reading	Generic		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887209	6786253	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	D319/8	41	28	01/03/2014	103574
422	YN14 MXR	Reading	Virtual Generic Pink		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887199	6785699	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		41	28	01/03/2014	103573
423	YN14 MXS	Reading	Generic		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887190	6785502	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	D318/8	41	28	01/04/2014	103534
424	YN14 MXT	Reading	Leopard		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887176	6785037	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	D318/9	41	30	01/04/2014	103533
425	YN14 MXU	Reading	Leopard		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887196	6785516	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	D318/10	41	30	01/04/2014	103536
426	YN14 MXV	Reading	Leopard		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887181	6785306	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		41	30	01/04/2014	103535
427	YN14 MXW	Reading	Leopard		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887184	6785320	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		41	30	01/04/2014	103538
428	YN14 MXX	Reading	Leopard		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887179	6785052	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	D318/13	41	30	01/04/2014	103537
429	YN14 MXY	Reading	Leopard		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887187	6785488	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	D318/14	41	30	01/04/2014	103540
430	YN14 MXZ	Reading	Pink 25		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887220	6786267	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		41	30	01/03/2014	103539
431	YN14 MYA	Reading	Pink 25		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887202	6785707	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		41	30	01/03/2014	103542
432	YN14 MYB	Reading	Lime 2/2A		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887213	6786260	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		41	30	01/03/2014	103541
433	YN14 MYC	Reading	Lime 2/2A		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887217	6785976	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17		41	30	01/03/2014	103544
434	YN14 MYD	Reading	Lime 2/2A		Y	Icomera	M340	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001887205	6785715	Euro 5	Synectics T800	Hanover	144 x 19	96 x 8	128 x 17	D618/5	41	30	01/03/2014	103543
435	BU52 GAS	Reading	Generic		Y	Cradlepoint	IBR1100	Dennis	Enviro 300 SG	Scania K27OUB	YS2K4X20001880162	6729352	Euro 5	Synectics T800	Hanover	144 X 19	96 X 8	128 X 17	c313/3	43	30	25/03/2013	103481
520	V524 ESC	Reading	Open Top					Dennis	Trident 2		SFD313BR1XGX20542									75	24	02/11/1999	103559
524	LJ03 MVV	Reading	Schools Silver Star		Y	Cradlepoint	IBR1100	DAF	DB250	Wrightbus Gemini	XMGDE02PS0H010651	S16863	Euro 4		Hanover				G172	72	10	21/07/2003	103624
525	LJ53 BFU	Reading	Schools Silver Star		Y	Cradlepoint	IBR1100	DAF	DB250	Wrightbus Gemini	XMGDE02PS0H010664	S17284	Euro 4		Hanover					72	10	02/10/2003	103623
526	LJ53 BGU	Reading	Schools Silver Star		Y	Cradlepoint	IBR1100	DAF	DB250	Wrightbus Gemini	XMGDE02PS0H010672	S17469	Euro 4		Hanover				G193	72	10	17/10/2003	103625
527	LJ04 LDL	Reading	Schools Silver Star		Y	Cradlepoint	IBR1100	DAF	DB250	Wrightbus Gemini	XMGDE02PS0H011470	S19435	Euro 4		Hanover					72	10	01/06/2004	103572
528	LJ04 LDZ	Reading	Schools Silver Star		Y	Cradlepoint	IBR1100	DAF	DB250	Wrightbus Gemini	XMGDE02PS0H011456	S19189	Euro 4		Hanover					72	10	22/04/2004	103626
529	LJ04 LEF	Reading	Schools Silver Star		Y	Cradlepoint	IBR1100	DAF	DB250	Wrightbus Gemini	XMGDE02PS0H011457	S19262	Euro 4		Hanover					72	10	14/04/2004	103627
530	X100 RDG	Reading	Generic Woodley		Y			DAF		Wrightbus Gemini	XMGDE02PS0H011458	S19248	Euro 4		Hanover					65	15	22/04/2004	103628
559	W559 BSG	Reading			Y			Dennis	Trident	Alexander Dennis	SFD321BR1YGX40965	21399516	Euro 2	Synectics	Hanover LED	160 x 19	96 x 8	128 x 17	7049	75	19	28/08/2000	103464
651	YX64 VLU	Reading	Fasttrack		Y	Icomera	M340	Dennis	Enviro 200	Alexander Dennis	SFD6F3BR6EGY24383	22127691	Euro 5	Synectics T1600	Hanover LED	144 X 19	96 X 8	128 X 17		38	28	05/09/2014	103552
652	YX64 VLV	Reading	Fasttrack		Y	Icomera	M340	Dennis	Enviro 200	Alexander Dennis	SFD6F3BR6EGY24384	22128696	Euro 5	Synectics T1600	Hanover LED	144 X 19	96 X 8	128 X 17		38	28	05/09/2014	103551
653	YX64 VLW	Reading	Fasttrack		Y	Icomera	M340	Dennis	Enviro 200	Alexander Dennis	SFD6F3BR6EGY24385	22128699	Euro 5	Synectics T1600	Hanover LED	144 X 19	96 X 8	128 X 17		38	28	05/09/2014	103553
654	YX64 VLY	Reading	Generic Fasttrack	Digital	Y	Icomera	M340	Dennis	Enviro 200	Alexander Dennis	SFD6F3BR6EGY24400	22128699	Euro 5	Synectics T1600	Hanover LED	144 X 19	96 X 8	128 X 17		38	28	05/09/2014	103555
701	YN66 EZM	Reading	Royal Blue 33		Y	In car PC		Dennis	Enviro 400 MMC gas	Scania	YS2N4X20001900149	6955733	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		72	14	01/01/2017	103473
702	YN66 EZO	Reading	Royal Blue 33		Y	In car PC		Dennis	Enviro 400 MMC gas	Scania	YS2N4X20001900150	6956417	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		72	14	01/01/2017	103582
703	YN66 EZP	Reading	Royal Blue 33		Y	In car PC		Dennis	Enviro 400 MMC gas	Scania	YS2N4X20001900151	6956112	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		72	14	01/01/2017	103499
704	YN66 EZR	Reading	Royal Blue 33		Y	In car PC		Dennis	Enviro 400 MMC gas	Scania	YS2N4X20001900152	6956450	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		72	14	01/01/2017	103493
705	YN66 EZS	Reading	Royal Blue 33		Y	In car PC		Dennis	Enviro 400 MMC gas	Scania	YS2N4X20001900258	6957656	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		72	14	01/01/2017	103500
751	YX64 VRL	Reading	Branded Claret		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX17986	22129180	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		80	11	03/10/2014	103557
752	YX64 VRM	Reading	Branded Claret		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX17991	22129300	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		80	11	03/10/2014	103554
753	YX64 VRN	Reading	Branded Claret		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX17992	22129234	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		80	11	03/10/2014	103556
754	YX64 VRO	Reading	Branded Claret		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX18001	22129284	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		80	11	10/10/2014	103563
755	YX64 VRP	Reading	Branded Claret		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX18005	22129206	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		80	11	10/10/2014	103566
756	YX64 VRR	Reading	Branded 33		Y	Icomera	M340	Dennis	Enviro 400 MMC	Alexander Dennis	SFDA11BR1EGX18004	22129224	Euro 6	Synectics T1600	Hanover LED	144 x 19	96 x 8	128 x 17		80	11	10/10/2014	103565
